Row,Guggilam,ACOPF
Grid,1,1
BUS NO1,0.976491949807526,0.998113671265947
BUS NO2,0.975187230741683,0.996877982982877
BUS NO3,0.972957457185949,0.990671189341906
BUS NO4,0.970295467146465,0.986818837360788
BUS NO5,0.968090961420697,0.978871351335563
BUS NO6,0.965958845771945,0.976003836150763
BUS NO7,0.959986275677589,0.971326375493084
BUS NO8,0.952783282527236,0.964143458672871
BUS NO9,0.95000000000651,0.961247938902874
